         1955994 function calls (1948908 primitive calls) in 9.469 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       58    0.000    0.000    0.002    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\backends\backend_qt5.py:765(set_message)
      280    0.000    0.000    0.003    0.000 <__array_function__ internals>:2(zeros_like)
        2    0.000    0.000    0.000    0.000 {built-in method setCursor}
      204    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\lines.py:1232(set_xdata)
      670    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      280    0.000    0.000    0.012    0.000 <__array_function__ internals>:2(intersect1d)
       77    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\patches.py:783(_convert_units)
      105    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\cbook\__init__.py:853(get_siblings)
       82    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\text.py:818(get_unitless_position)
     1326    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
        1    0.000    0.000    0.000    0.000 {built-in method drawImage}
      111    0.000    0.000    0.003    0.000 <__array_function__ internals>:2(reshape)
     1826    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\lib\arraysetops.py:144(_unique_dispatcher)
      137    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\rcsetup.py:623(validate_capstyle)
       59    0.000    0.000    0.018    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\backend_bases.py:1950(inaxes)
       86    0.000    0.000    0.000    0.000 {built-in method devicePixelRatioF}
        8    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\ticker.py:784(_compute_offset)
       43    0.000    0.000    0.002    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\lines.py:1277(update_from)
     1550    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2876(_prod_dispatcher)
      164    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\cbook\__init__.py:1281(_to_unmasked_float_array)
      915    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      122    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:2422(get_matrix)
       13    0.000    0.000    0.036    0.003 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\axis.py:283(draw)
      213    0.000    0.000    0.002    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:1267(__add__)
       94    0.000    0.000    0.039    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:1937(rotate_deg)
       28    0.000    0.000    0.000    0.000 {method 'round' of 'numpy.ndarray' objects}
       59    0.000    0.000    0.006    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\path.py:497(contains_point)
       39    0.000    0.000    0.007    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\axes\_base.py:3688(format_ydata)
      438    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\core\shape_base.py:208(_arrays_for_stack_dispatcher)
      291    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      155    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\re.py:289(_compile)
      144    0.000    0.000    0.003    0.000 <__array_function__ internals>:2(any)
       58    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\weakref.py:66(__call__)
      398    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\core\shape_base.py:219(_vhstack_dispatcher)
       77    0.000    0.000    0.039    0.001 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:1957(rotate_deg_around)
      131    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\font_manager.py:832(set_style)
      114    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\ticker.py:279(fix_minus)
       63    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\figure.py:65(as_list)
      153    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
      533    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\inspect.py:2619(__init__)
      527    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\logging\__init__.py:1412(debug)
       69    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\lines.py:618(axes)
       79    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:2511(__init__)
      122    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
       86    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\backends\qt_compat.py:190(_devicePixelRatioF)
       77    0.000    0.000    0.003    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\font_manager.py:932(copy)
      152    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\artist.py:935(set_visible)
      111    0.000    0.000    0.003    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:199(reshape)
      155    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\artist.py:687(set_figure)
      147    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\lines.py:67(_scale_dashes)
       59    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\patches.py:111(_process_radius)
       24    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:589(count_contains)
       10    0.000    0.000    0.023    0.002 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\axis.py:416(__init__)
      295    0.000    0.000    0.002    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:1715(transform)
      152    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        4    0.000    0.000    0.015    0.004 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\axis.py:1403(grid)
       38    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\lib\stride_tricks.py:204(broadcast_arrays)
     1400    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\lib\arraysetops.py:491(_in1d_dispatcher)
      755    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\font_manager.py:752(get_family)
    86/34    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      188    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:2151(transform_non_affine)
      429    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:1815(inverted)
       92    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2589(amax)
      819    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
      153    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\re.py:188(match)
      158    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\artist.py:367(get_transform)
       59    0.000    0.000    0.017    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\backend_bases.py:1964(<listcomp>)
    41/37    0.000    0.000    0.002    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\axes\_base.py:635(_unstale_viewLim)
      162    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:1691(<lambda>)
       34    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:2844(_interval_contains_close)
       83    0.000    0.000    0.004    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:2342(transform_affine)
      184    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\figure.py:42(_stale_figure_callback)
      131    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\font_manager.py:842(set_variant)
      270    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\rcsetup.py:600(_deprecate_case_insensitive_join_cap)
      295    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\artist.py:177(convert_yunits)
       63    0.000    0.000    0.002    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\lines.py:1190(set_markerfacecolor)
      842    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\core\multiarray.py:1043(copyto)
       10    0.000    0.000    0.010    0.001 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\offsetbox.py:882(get_extent)
       39    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\cbook\__init__.py:1817(_topmost_artist)
      184    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\pyplot.py:715(_auto_draw_if_interactive)
       49    0.000    0.000    0.003    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\text.py:1188(set_fontproperties)
       93    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\text.py:1135(set_verticalalignment)
       52    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\path.py:193(_update_values)
       99    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:1041(get_points)
       25    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\cbook\__init__.py:168(connect)
       14    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\patches.py:523(_bind_draw_path_function)
       34    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\text.py:1167(_preprocess_math)
       63    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\lines.py:1080(set_linewidth)
       28    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\axis.py:467(update_position)
        1    0.000    0.000    0.005    0.005 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\legend.py:701(_init_legend_box)
      881    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\core\multiarray.py:143(concatenate)
       20    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:497(anchored)
       85    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:2346(transform_non_affine)
       78    0.000    0.000    0.002    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:2179(inverted)
      152    0.000    0.000    0.001    0.000 {method 'max' of 'numpy.ndarray' objects}
      126    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\artist.py:354(set_transform)
       61    0.000    0.000    0.000    0.000 {method 'set_size' of 'matplotlib.ft2font.FT2Font' objects}
       63    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\lines.py:1346(set_dash_capstyle)
      232    0.000    0.000    0.000    0.000 {method 'count' of 'str' objects}
      156    0.000    0.000    0.005    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:1436(transform_affine)
       24    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\backend_bases.py:957(set_joinstyle)
      173    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\lib\function_base.py:244(iterable)
       40    0.000    0.000    0.002    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\lines.py:1146(set_marker)
      195    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\lines.py:1244(set_ydata)
      133    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\rcsetup.py:617(validate_joinstyle)
      435    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:971(get_points)
       16    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\lib\function_base.py:1152(diff)
       59    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\backend_bases.py:1339(_update_enter_leave)
      6/4    0.000    0.000    0.010    0.002 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\offsetbox.py:460(get_extent_offsets)
       61    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\patches.py:757(get_path)
        8    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\ticker.py:823(_set_order_of_magnitude)
       78    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\backends\backend_qt5.py:250(_dpi_ratio)
       42    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\core\_ufunc_config.py:32(seterr)
        5    0.000    0.000    0.003    0.001 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:658(union)
      755    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\font_manager.py:771(get_variant)
       63    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\lines.py:631(set_data)
       17    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\cbook\__init__.py:536(__setitem__)
       36    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\path.py:164(_fast_from_codes_and_verts)
       77    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2714(amin)
        1    0.000    0.000    0.006    0.006 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\legend.py:292(__init__)
      188    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\artist.py:194(axes)
       65    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\lines.py:1045(set_drawstyle)
        1    0.000    0.000    0.012    0.012 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\backends\backend_qt5.py:217(__init__)
       16    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\ticker.py:2146(_validate_steps)
        1    0.000    0.000    0.072    0.072 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\axes\_base.py:1038(cla)
        1    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\sre_compile.py:71(_compile)
        2    0.000    0.000    0.003    0.001 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\legend_handler.py:229(create_artists)
      755    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\font_manager.py:764(get_style)
      527    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\logging\__init__.py:1677(isEnabledFor)
      220    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFAC97FB810}
   122/84    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\axes\_base.py:776(get_yaxis_transform)
       19    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\offsetbox.py:52(_get_packed_offsets)
      280    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\lib\function_base.py:714(copy)
       63    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\lines.py:1175(set_markeredgewidth)
      152    0.000    0.000    0.000    0.000 <string>:1(__new__)
        1    0.000    0.000    0.019    0.019 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\backends\backend_qt5.py:600(_get_toolbar)
      187    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\__init__.py:1198(is_interactive)
       19    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:1019(__init__)
       47    0.000    0.000    0.001    0.000 {method 'min' of 'numpy.ndarray' objects}
      533    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\inspect.py:2845(parameters)
       14    0.000    0.000    0.005    0.000 c:/Users/chidi/OneDrive/Desktop/KUL/MAI/Sem 1/EA/Knapsack GA/Sln/Knapsack.py:159(<listcomp>)
        1    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\sre_parse.py:493(_parse)
        8    0.000    0.000    0.020    0.003 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\axis.py:815(set_tick_params)
      755    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\font_manager.py:777(get_weight)
        1    0.000    0.000    0.001    0.001 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\axes\_base.py:2607(_update_title_position)
        9    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\pathlib.py:63(parse_parts)
       58    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\backend_bases.py:2944(_update_cursor)
      131    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\font_manager.py:819(set_family)
       19    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:1539(transform_path_non_affine)
       19    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:2666(__init__)
        4    0.000    0.000    0.042    0.011 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\axis.py:1091(<listcomp>)
      107    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\cbook\__init__.py:804(clean)
       90    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\text.py:942(set_horizontalalignment)
      262    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\font_manager.py:1016(_normalize_font_family)
        2    0.000    0.000    0.131    0.065 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\axis.py:1156(draw)
       62    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\figure.py:415(get_axes)
       34    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\ticker.py:639(__call__)
       63    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\lines.py:1302(set_dash_joinstyle)
      755    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\font_manager.py:786(get_stretch)
       42    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\core\_ufunc_config.py:132(geterr)
        2    0.000    0.000    0.001    0.001 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\axes\_base.py:2512(handle_single_axis)
      133    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\text.py:1149(set_text)
       77    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(amin)
       63    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\lines.py:1204(set_markerfacecoloralt)
   131/89    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\axes\_base.py:700(get_xaxis_transform)
       39    0.000    0.000    0.014    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\axes\_base.py:3698(format_coord)
       67    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\lines.py:716(set_transform)
      596    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\core\multiarray.py:706(dot)
        2    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:989(set)
       96    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\cbook\deprecation.py:456(_deprecate_method_override)
       26    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\text.py:252(update_from)
       39    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:2603(__init__)
       80    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:2119(__init__)
       47    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2337(all)
       25    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\axis.py:538(update_position)
       14    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\core\_methods.py:143(_mean)
       20    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\legend.py:984(_get_anchored_bbox)
       72    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\lines.py:33(_get_dash_pattern)
      172    0.000    0.000    0.000    0.000 {built-in method math.floor}
      560    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\lib\arraysetops.py:752(_setdiff1d_dispatcher)
       92    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(amax)
      668    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        7    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\patches.py:41(__init__)
       20    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:628(padded)
       17    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:2681(_revalidate)
        8    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\ticker.py:2030(scale_range)
       28    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:324(ymax)
      184    0.000    0.000    0.000    0.000 {built-in method math.log10}
      525    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\font_manager.py:1228(score_size)
       40    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\lib\shape_base.py:608(_column_stack_dispatcher)
      300    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\font_manager.py:800(get_size_in_points)
       38    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(broadcast_arrays)
        7    0.000    0.000    0.003    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\patches.py:575(draw)
       16    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\ticker.py:2169(set_params)
       77    0.000    0.000    0.047    0.001 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\patches.py:791(get_patch_transform)
       16    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\axis.py:795(reset_ticks)
        8    0.000    0.000    0.000    0.000 {built-in method color}
      295    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\artist.py:792(get_visible)
      300    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\cbook\__init__.py:2234(<genexpr>)
        4    0.000    0.000    0.029    0.007 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\axis.py:1375(get_major_ticks)
      231    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\path.py:202(vertices)
        1    0.000    0.000    0.000    0.000 {built-in method rect}
       33    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      136    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       16    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\core\_methods.py:72(_clip_dep_is_scalar_nan)
       25    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\weakref.py:44(__new__)
       63    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\lines.py:1316(set_solid_joinstyle)
      111    0.000    0.000    0.000    0.000 {built-in method math.cos}
     16/8    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\units.py:192(get_converter)
      525    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\font_manager.py:1164(score_style)
       58    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\enum.py:357(__members__)
       32    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\axis.py:1607(_set_formatter)
       16    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:357(width)
      128    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\figure.py:435(_get_dpi)
       16    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\ticker.py:2161(_staircase)
       41    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
      152    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\core\_methods.py:37(_amax)
        9    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\axes\_base.py:800(get_yaxis_text1_transform)
        9    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\pathlib.py:654(_parse_args)
        4    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\axis.py:2241(get_tick_space)
        3    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\offsetbox.py:777(__init__)
      108    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\text.py:1100(set_x)
       78    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\axis.py:1367(get_major_formatter)
      478    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
       16    0.000    0.000    0.002    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\scale.py:106(set_default_locators_and_formatters)
      280    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\lib\arraysetops.py:342(_intersect1d_dispatcher)
      560    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:1110(_argmax_dispatcher)
       49    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\text.py:233(set_rotation_mode)
       41    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\backend_bases.py:659(new_gc)
       16    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\ticker.py:518(__init__)
      525    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\font_manager.py:794(get_size)
