         1955994 function calls (1948908 primitive calls) in 9.469 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       53    0.002    0.000    0.047    0.001 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\text.py:266(_get_layout)
      171    0.002    0.000    0.003    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\cbook\__init__.py:1682(normalize_kwargs)
      644    0.002    0.000    0.002    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\cbook\__init__.py:2045(_setattr_cm)
      152    0.002    0.000    0.003    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\artist.py:69(__init__)
      957    0.002    0.000    0.004    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:1832(__init__)
      122    0.002    0.000    0.003    0.000 C:\Users\chidi\anaconda3\lib\ntpath.py:450(normpath)
       35    0.002    0.000    0.036    0.001 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\text.py:665(draw)
      280    0.002    0.000    0.011    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\lib\arraysetops.py:347(intersect1d)
      560    0.002    0.000    0.027    0.000 c:/Users/chidi/OneDrive/Desktop/KUL/MAI/Sem 1/EA/Knapsack GA/Sln/Knapsack.py:123(selection)
     9015    0.002    0.000    0.002    0.000 C:\Users\chidi\anaconda3\lib\inspect.py:2539(kind)
      525    0.002    0.000    0.004    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\font_manager.py:1131(score_family)
     2188    0.002    0.000    0.002    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:107(__init__)
     1423    0.002    0.000    0.002    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:1702(__init__)
     5358    0.002    0.000    0.004    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\core\_asarray.py:86(asanyarray)
     4706    0.002    0.000    0.007    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\core\_asarray.py:14(asarray)
       61    0.001    0.000    0.018    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\font_manager.py:1411(get_font)
  380/208    0.001    0.000    0.006    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:2366(get_affine)
       11    0.001    0.000    0.002    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     1550    0.001    0.000    0.012    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2881(prod)
10738/10737    0.001    0.000    0.001    0.000 {built-in method builtins.len}
      560    0.001    0.000    0.032    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\lib\arraysetops.py:756(setdiff1d)
      560    0.001    0.000    0.001    0.000 c:/Users/chidi/OneDrive/Desktop/KUL/MAI/Sem 1/EA/Knapsack GA/Sln/Knapsack.py:125(<listcomp>)
      150    0.001    0.000    0.002    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\cbook\__init__.py:2219(_check_isinstance)
     3978    0.001    0.000    0.005    0.000 {built-in method builtins.next}
     1047    0.001    0.000    0.001    0.000 {built-in method numpy.zeros}
      122    0.001    0.000    0.036    0.000 C:\Users\chidi\anaconda3\lib\ntpath.py:625(realpath)
     1826    0.001    0.000    0.001    0.000 {method 'flatten' of 'numpy.ndarray' objects}
     4852    0.001    0.000    0.001    0.000 {function RcParams.__getitem__ at 0x000002A2C90F8B80}
       19    0.001    0.000    0.026    0.001 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\axis.py:56(__init__)
     1550    0.001    0.000    0.014    0.000 <__array_function__ internals>:2(prod)
     8064    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
       45    0.001    0.000    0.013    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\lines.py:734(draw)
       77    0.001    0.000    0.047    0.001 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\patches.py:761(_update_patch_transform)
      206    0.001    0.000    0.003    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:766(__init__)
     1826    0.001    0.000    0.024    0.000 <__array_function__ internals>:2(unique)
     1245    0.001    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\cbook\__init__.py:2254(_check_in_list)
      525    0.001    0.000    0.002    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\font_manager.py:1154(<listcomp>)
        3    0.001    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\linalg\linalg.py:477(inv)
      230    0.001    0.000    0.002    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\font_manager.py:736(__hash__)
       58    0.001    0.000    0.001    0.000 {built-in method setText}
      382    0.001    0.000    0.002    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\core\shape_base.py:82(atleast_2d)
       41    0.001    0.000    0.002    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\backend_bases.py:900(set_clip_path)
       59    0.001    0.000    0.001    0.000 {built-in method matplotlib._path.point_in_path}
       13    0.001    0.000    0.001    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     1400    0.001    0.000    0.039    0.000 <__array_function__ internals>:2(in1d)
      349    0.001    0.000    0.002    0.000 C:\Users\chidi\anaconda3\lib\contextlib.py:82(__init__)
      131    0.001    0.000    0.004    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\font_manager.py:680(__init__)
     3816    0.001    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\artist.py:796(get_animated)
      146    0.001    0.000    0.004    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\markers.py:277(set_marker)
      433    0.001    0.000    0.003    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:2276(__init__)
       59    0.001    0.000    0.023    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\backend_bases.py:1304(__init__)
      239    0.001    0.000    0.012    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:1399(transform)
      527    0.001    0.000    0.001    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     2880    0.001    0.000    0.001    0.000 {method 'ravel' of 'numpy.ndarray' objects}
       61    0.001    0.000    0.035    0.001 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\font_manager.py:1252(findfont)
      280    0.001    0.000    0.003    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\core\numeric.py:75(zeros_like)
  454/357    0.001    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:158(_invalidate_internal)
        3    0.001    0.000    0.001    0.000 {built-in method builtins.print}
      244    0.001    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\ntpath.py:124(splitdrive)
     1826    0.001    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\lib\arraysetops.py:136(_unpack_tuple)
        8    0.001    0.000    0.001    0.000 {built-in method addAction}
     1486    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
      689    0.001    0.000    0.001    0.000 {built-in method builtins.any}
      171    0.001    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\cbook\__init__.py:1742(<dictcomp>)
       58    0.001    0.000    0.023    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\backend_bases.py:1425(__init__)
      525    0.001    0.000    0.002    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\font_manager.py:1210(score_weight)
      382    0.001    0.000    0.004    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\core\shape_base.py:223(vstack)
     3575    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
      106    0.001    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:375(bounds)
     4623    0.001    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\inspect.py:2527(name)
      881    0.001    0.000    0.003    0.000 <__array_function__ internals>:2(concatenate)
       80    0.001    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:1982(scale)
      842    0.001    0.000    0.002    0.000 <__array_function__ internals>:2(copyto)
       60    0.001    0.000    0.002    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\backends\backend_qt5.py:290(mouseEventCoords)
      349    0.001    0.000    0.002    0.000 C:\Users\chidi\anaconda3\lib\contextlib.py:117(__exit__)
      325    0.001    0.000    0.004    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:1765(frozen)
       59    0.001    0.000    0.001    0.000 {method 'emit' of 'PyQt5.QtCore.pyqtBoundSignal' objects}
      331    0.001    0.000    0.003    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:2433(composite_transform_factory)
       29    0.001    0.000    0.042    0.001 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\text.py:861(get_window_extent)
       61    0.001    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\backends\backend_agg.py:55(get_hinting_flag)
      596    0.001    0.000    0.039    0.000 <__array_function__ internals>:2(dot)
      560    0.001    0.000    0.001    0.000 {method 'argmax' of 'numpy.ndarray' objects}
       17    0.001    0.000    0.001    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      301    0.001    0.000    0.001    0.000 {built-in method matplotlib._path.affine_transform}
     1630    0.001    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:1865(get_matrix)
      133    0.001    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\font_manager.py:851(set_weight)
    109/1    0.001    0.000    0.156    0.156 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\artist.py:33(draw_wrapper)
       58    0.001    0.000    0.041    0.001 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\backend_bases.py:1880(motion_notify_event)
      533    0.001    0.000    0.017    0.000 C:\Users\chidi\anaconda3\lib\inspect.py:3020(bind)
      214    0.001    0.000    0.005    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:2183(get_affine)
        1    0.001    0.001    0.001    0.001 {built-in method gc.collect}
      560    0.001    0.000    0.003    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\core\numeric.py:144(ones)
       17    0.001    0.000    0.023    0.001 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\backends\backend_agg.py:188(draw_text)
      301    0.001    0.000    0.002    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:1794(transform_affine)
       48    0.001    0.000    0.008    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\text.py:127(__init__)
       94    0.001    0.000    0.038    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:1921(rotate)
      161    0.001    0.000    0.001    0.000 {method 'argsort' of 'numpy.ndarray' objects}
       76    0.001    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:363(height)
      252    0.001    0.000    0.003    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\markers.py:230(_recache)
      158    0.001    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:1969(translate)
       58    0.001    0.000    0.016    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\backend_bases.py:2984(mouse_move)
      478    0.001    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\random.py:415(uniform)
     1486    0.001    0.000    0.002    0.000 C:\Users\chidi\anaconda3\lib\abc.py:96(__instancecheck__)
      805    0.001    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\artist.py:332(pchanged)
       41    0.001    0.000    0.002    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\artist.py:850(_set_gc_clip)
        1    0.001    0.001    0.001    0.001 {method 'copy_from_bbox' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      169    0.001    0.000    0.030    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\artist.py:1086(set)
      357    0.001    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:148(invalidate)
       61    0.000    0.000    0.054    0.001 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\backends\backend_agg.py:268(_get_agg_font)
     2317    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
  598/331    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:2334(<lambda>)
      148    0.000    0.000    0.002    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\colors.py:161(to_rgba)
       70    0.000    0.000    0.017    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\cbook\__init__.py:213(process)
      560    0.000    0.000    0.005    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:1114(argmax)
      349    0.000    0.000    0.002    0.000 C:\Users\chidi\anaconda3\lib\contextlib.py:238(helper)
      116    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\cbook\__init__.py:1268(is_math_text)
      560    0.000    0.000    0.006    0.000 <__array_function__ internals>:2(argmax)
     1599    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\cbook\deprecation.py:399(<genexpr>)
      338    0.000    0.000    0.002    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\artist.py:52(_stale_axes_callback)
       58    0.000    0.000    0.043    0.001 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\backends\backend_qt5.py:321(mouseMoveEvent)
      120    0.000    0.000    0.005    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\text.py:168(update)
       69    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\artist.py:1065(update_from)
       38    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\lib\stride_tricks.py:183(_broadcast_shape)
      560    0.000    0.000    0.033    0.000 <__array_function__ internals>:2(setdiff1d)
      122    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\ntpath.py:61(isabs)
  234/117    0.000    0.000    0.003    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:2374(inverted)
      106    0.000    0.000    0.003    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\markers.py:215(__init__)
       41    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\backend_bases.py:736(__init__)
      111    0.000    0.000    0.005    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:815(from_extents)
       44    0.000    0.000    0.046    0.001 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\backends\backend_agg.py:215(get_text_width_height_descent)
      148    0.000    0.000    0.002    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\colors.py:124(_is_nth_color)
       20    0.000    0.000    0.041    0.002 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\artist.py:723(set_clip_path)
     2365    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\inspect.py:2531(default)
        1    0.000    0.000    0.018    0.018 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\backends\backend_qt5.py:653(__init__)
       65    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\lines.py:1098(set_linestyle)
      745    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       53    0.000    0.000    0.002    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\text.py:832(get_prop_tup)
        8    0.000    0.000    0.002    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\ticker.py:2214(_raw_ticks)
   118/59    0.000    0.000    0.005    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:2296(frozen)
       26    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:633(translated)
     1676    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\artist.py:189(axes)
       17    0.000    0.000    0.000    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
       40    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\lib\shape_base.py:612(column_stack)
      173    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\font_manager.py:887(set_size)
      382    0.000    0.000    0.006    0.000 <__array_function__ internals>:2(vstack)
    80/76    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\spines.py:391(get_spine_transform)
     2936    0.000    0.000    0.000    0.000 {built-in method builtins.id}
     1306    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
      737    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\backends\backend_agg.py:90(__init__)
  459/290    0.000    0.000    0.001    0.000 {built-in method builtins.hash}
      131    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
      349    0.000    0.000    0.003    0.000 C:\Users\chidi\anaconda3\lib\contextlib.py:108(__enter__)
      244    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\ntpath.py:44(normcase)
     2121    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
     13/7    0.000    0.000    0.011    0.002 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\offsetbox.py:538(get_extent_offsets)
      131    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\font_manager.py:869(set_stretch)
       14    0.000    0.000    0.013    0.001 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\axis.py:341(_apply_params)
        4    0.000    0.000    0.040    0.010 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\axis.py:1016(_update_ticks)
       34    0.000    0.000    0.000    0.000 {built-in method builtins.round}
      283    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(empty_like)
     1250    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:200(<lambda>)
      591    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
      600    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\cbook\__init__.py:1830(_str_equal)
      366    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\font_manager.py:1308(<genexpr>)
       59    0.000    0.000    0.017    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\patches.py:153(contains_point)
        2    0.000    0.000    0.008    0.004 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\backends\backend_qt5agg.py:23(paintEvent)
        8    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\ticker.py:860(_set_format)
       39    0.000    0.000    0.007    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\axes\_base.py:3678(format_xdata)
      150    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\cbook\__init__.py:2236(type_name)
      106    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\markers.py:252(set_fillstyle)
    47/46    0.000    0.000    0.002    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:1710(__eq__)
       52    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\path.py:98(__init__)
       16    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:2764(nonsingular)
       84    0.000    0.000    0.049    0.001 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\patches.py:258(get_transform)
       61    0.000    0.000    0.000    0.000 {method 'clear' of 'matplotlib.ft2font.FT2Font' objects}
       34    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\text.py:39(get_rotation)
      382    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(atleast_2d)
      295    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\artist.py:165(convert_xunits)
        2    0.000    0.000    0.000    0.000 {built-in method nt.stat}
        9    0.000    0.000    0.024    0.003 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\axis.py:489(__init__)
      125    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:2387(__init__)
       52    0.000    0.000    0.000    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\cbook\__init__.py:2271(_check_shape)
      155    0.000    0.000    0.001    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:2527(get_matrix)
      280    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(copy)
      144    0.000    0.000    0.002    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2249(any)
        2    0.000    0.000    0.000    0.000 {built-in method raise_}
